0.00000000	2.49171737
0.10101010	2.77916030
0.20202020	3.68881958
0.30303030	3.63163189
0.40404040	3.43711859
0.50505051	3.37444905
0.60606061	3.65703024
0.70707071	3.86202013
0.80808081	4.00393124
0.90909091	4.06805259
1.01010101	4.29959771
1.11111111	4.58713786
1.21212121	4.11438532
1.31313131	3.32485009
1.41414141	4.42085418
1.51515152	4.18625053
1.61616162	5.30378148
1.71717172	5.00712309
1.81818182	5.46326013
1.91919192	6.28519769
2.02020202	4.50170389
2.12121212	5.26340443
2.22222222	5.56783636
2.32323232	5.20531290
2.42424242	5.87355960
2.52525253	5.56347668
2.62626263	5.65460841
2.72727273	5.67968184
2.82828283	6.21608105
2.92929293	6.14965182
3.03030303	5.19040258
3.13131313	7.66849436
3.23232323	6.23812748
3.33333333	6.64347787
3.43434343	7.05597411
3.53535354	7.07254046
3.63636364	7.28218041
3.73737374	6.91670540
3.83838384	7.24291726
3.93939394	7.05043894
4.04040404	7.23097240
4.14141414	6.60545047
4.24242424	7.69611248
4.34343434	7.40928689
4.44444444	7.25979709
4.54545455	7.52611248
4.64646465	7.71385856
4.74747475	7.55532051
4.84848485	8.23712722
4.94949495	7.82220526
5.05050505	7.63097270
5.15151515	7.72520265
5.25252525	8.47356339
5.35353535	8.00008578
5.45454545	7.62680347
5.55555556	9.60928235
5.65656566	8.76273909
5.75757576	8.62392102
5.85858586	9.18745917
5.95959596	8.72321913
6.06060606	9.06875766
6.16161616	9.66269445
6.26262626	9.10377898
6.36363636	9.93009594
6.46464646	9.94091002
6.56565657	9.78026140
6.66666667	8.94508288
6.76767677	9.61472623
6.86868687	9.84618801
6.96969697	9.37354368
7.07070707	10.91685716
7.17171717	10.08051609
7.27272727	10.09544395
7.37373737	10.06508967
7.47474747	10.67536197
7.57575758	10.46317569
7.67676768	10.13166002
7.77777778	11.05974911
7.87878788	10.02388348
7.97979798	11.47401969
8.08080808	10.98782181
8.18181818	10.88135750
8.28282828	10.10764264
8.38383838	12.13801313
8.48484848	10.85627691
8.58585859	11.58684579
8.68686869	12.61504932
8.78787879	11.18092213
8.88888889	11.46467061
8.98989899	11.52344406
9.09090909	12.40182314
9.19191919	11.92519730
9.29292929	11.68115552
9.39393939	12.65517884
9.49494949	12.09642633
9.59595960	12.88707171
9.69696970	12.38907651
9.79797980	12.37950603
9.89898990	12.53213310
10.00000000	13.51667313
